"iteration_type","weight_decay","epoch","lr","train_loss","val_loss","train_acc","val_acc"
"L1","0.0001","1","0.005635849325882514","0.49864103598594667","0.06219008319377899","86.33","98.37"
"L1","0.0001","2","0.010431897177822128","0.10108655357360839","0.06216565146446228","97.085","98.11"
"L1","0.0001","3","0.018061243070589844","0.08476047093073527","0.05549955234527588","97.475","98.2"
"L1","0.0001","4","0.028003867823535325","0.08149050997495651","0.059791801023483276","97.45833333333333","98.25"
"L1","0.0001","5","0.039582078270008196","0.0749342832883199","0.05871054406166076","97.67","98.18"
"L1","0.0001","6","0.052006699086933936","0.07197961429357529","0.07290993683338165","97.745","97.7"
"L1","0.0001","7","0.06443086329149111","0.07111931902567546","0.03638314220905304","97.77833333333334","98.84"
"L1","0.0001","8","0.07600773502373485","0.06960437618494034","0.044239271759986876","97.83333333333333","98.52"
"L1","0.0001","9","0.08594823020787264","0.06913688913186392","0.03318142368793488","97.825","99.0"
"L1","0.0001","10","0.09357480082949156","0.06652676120201746","0.052034065508842466","97.88666666666667","98.37"
"L1","0.0001","11","0.09836761687150115","0.06448467792669932","0.03618353798389435","97.995","98.96"
"L1","0.0001","12","0.0999999996423022","0.06490145055055618","0.05464921395778656","97.885","98.15"
"L1","0.0001","13","0.09968494176273295","0.06699366949001948","0.05689000909328461","97.95","98.11"
"L1","0.0001","14","0.09874506942773865","0.0638828537106514","0.03826698904037475","98.00166666666667","98.88"
"L1","0.0001","15","0.09719220207725855","0.061857203853130344","0.0504767671585083","98.11","98.57"
"L1","0.0001","16","0.09504586791921951","0.06284509039322535","0.044978713178634645","98.00666666666666","98.66"
"L1","0.0001","17","0.09233305835099098","0.06167569617430369","0.037048314213752744","98.055","98.86"
"L1","0.0001","18","0.0890878885269022","0.06010595266819","0.053855686950683594","98.135","98.38"
"L1","0.0001","19","0.08535116834038248","0.06061713264385859","0.05207843663692474","98.10333333333334","98.44"
"L1","0.0001","20","0.08116988921587286","0.06128007748921712","0.049318757653236386","98.06333333333333","98.39"
"L1","0.0001","21","0.0765966331643987","0.059062715097268424","0.038433208751678466","98.18166666666667","98.7"
"L1","0.0001","22","0.07168891153427225","0.059091076346238454","0.03419203317165375","98.12666666666667","98.89"
"L1","0.0001","23","0.06650844177251879","0.058896273414293925","0.047815003013610836","98.13833333333334","98.63"
"L1","0.0001","24","0.061120371292170905","0.05609475844303767","0.04100794296264648","98.21666666666667","98.82"
"L1","0.0001","25","0.05559245820575031","0.055557347508271536","0.0336849818944931","98.29333333333334","99.04"
"L1","0.0001","26","0.04999421922768861","0.055234226524829864","0.036926678013801575","98.27833333333334","98.78"
"L1","0.0001","27","0.044396055461308856","0.055151392988363905","0.04012368242740631","98.22833333333334","98.72"
"L1","0.0001","28","0.03886836706410354","0.05342932386398316","0.04536870350837707","98.295","98.61"
"L1","0.0001","29","0.03348066792490705","0.053086496047178904","0.03736594324111939","98.285","98.85"
"L1","0.0001","30","0.0283007114864106","0.05042005299727122","0.05332253510951996","98.43","98.32"
"L1","0.0001","31","0.023393638706309047","0.051311041529973345","0.04098753106594086","98.43666666666667","98.79"
"L1","0.0001","32","0.018821158871962108","0.04746445926427841","0.03361126732826233","98.53333333333333","98.97"
"L1","0.0001","33","0.014640773570301302","0.04460177254279454","0.0352936429977417","98.61333333333333","98.88"
"L1","0.0001","34","0.010905053572011027","0.04274826519886653","0.03100515613555908","98.68833333333333","99.11"
"L1","0.0001","35","0.007660977723585038","0.041041149469216665","0.02632091405391693","98.695","99.21"
"L1","0.0001","36","0.004949342161073944","0.037521135540803274","0.025127566742897033","98.81","99.25"
"L1","0.0001","37","0.0028042472750039044","0.03522173584699631","0.026306368255615234","98.885","99.26"
"L1","0.0001","38","0.0012526688781803186","0.0322035380701224","0.025878495764732362","98.99833333333333","99.23"
"L1","0.0001","39","0.00031411896918998847","0.032196117552121484","0.02412634813785553","99.01166666666667","99.29"
"L1","0.0001","40","4.003576978061e-07","0.029908036875724794","0.024564819741249085","99.06","99.29"
