"iteration_type","weight_decay","epoch","lr","train_loss","val_loss","train_acc","val_acc"
"L1_L2","0.1","1","0.005635849325882514","2.3013804817199706","2.3025850730896","10.531666666666666","10.28"
"L1_L2","0.1","2","0.010431897177822128","2.3025851168314615","2.3025847774505617","10.056666666666667","10.1"
"L1_L2","0.1","3","0.018061243070589844","2.3025849763234456","2.30258445854187","9.958333333333334","10.1"
"L1_L2","0.1","4","0.028003867823535325","2.3025848368326822","2.30258480758667","10.04","9.74"
"L1_L2","0.1","5","0.039582078270008196","2.302584603246053","2.3025864376068115","10.046666666666667","10.1"
"L1_L2","0.1","6","0.052006699086933936","2.302584023920695","2.3025816577911375","10.088333333333333","11.35"
"L1_L2","0.1","7","0.06443086329149111","2.30258479347229","2.302582958984375","10.033333333333333","10.28"
"L1_L2","0.1","8","0.07600773502373485","2.302583460108439","2.3025848850250243","10.295","10.32"
"L1_L2","0.1","9","0.08594823020787264","2.3025860649108885","2.3025891742706297","10.025","10.1"
"L1_L2","0.1","10","0.09357480082949156","2.302586545562744","2.302582149887085","9.965","11.35"
"L1_L2","0.1","11","0.09836761687150115","2.3025863653818766","2.3025716453552247","9.938333333333333","11.35"
"L1_L2","0.1","12","0.0999999996423022","2.302591260655721","2.3025780307769774","9.61","11.35"
"L1_L2","0.1","13","0.09968494176273295","2.30258789545695","2.302583299636841","10.046666666666667","8.92"
"L1_L2","0.1","14","0.09874506942773865","2.3025858453114827","2.3025669189453124","10.16","11.35"
"L1_L2","0.1","15","0.09719220207725855","2.302584320576986","2.302569423675537","10.188333333333333","10.09"
"L1_L2","0.1","16","0.09504586791921951","2.302582862854004","2.30258893699646","10.218333333333334","9.82"
"L1_L2","0.1","17","0.09233305835099098","2.302586488978068","2.302587797164917","9.861666666666666","9.74"
"L1_L2","0.1","18","0.0890878885269022","2.302583366394043","2.3025741771697996","10.025","10.32"
"L1_L2","0.1","19","0.08535116834038248","2.3025822940826415","2.302584857940674","10.113333333333333","9.8"
"L1_L2","0.1","20","0.08116988921587286","2.3025831691741945","2.3025989547729493","10.168333333333333","8.92"
"L1_L2","0.1","21","0.0765966331643987","2.302586621729533","2.3025891620635988","9.946666666666667","9.8"
"L1_L2","0.1","22","0.07168891153427225","2.3025857103983562","2.3025888526916503","9.946666666666667","8.92"
"L1_L2","0.1","23","0.06650844177251879","2.3025854199727376","2.302583361053467","10.211666666666666","9.8"
"L1_L2","0.1","24","0.061120371292170905","2.3025863238016764","2.302589574813843","9.865","9.58"
"L1_L2","0.1","25","0.05559245820575031","2.3025856477101643","2.3025858406066892","10.083333333333334","10.09"
"L1_L2","0.1","26","0.04999421922768861","2.3025854817708336","2.3025814769744875","9.976666666666667","11.35"
"L1_L2","0.1","27","0.044396055461308856","2.3025849789937336","2.302582395172119","10.138333333333334","10.09"
"L1_L2","0.1","28","0.03886836706410354","2.302585202153524","2.302586849594116","10.13","9.58"
"L1_L2","0.1","29","0.03348066792490705","2.302585318120321","2.302585068511963","10.033333333333333","10.09"
"L1_L2","0.1","30","0.0283007114864106","2.302585027440389","2.302583853149414","10.096666666666666","11.35"
"L1_L2","0.1","31","0.023393638706309047","2.3025851605733236","2.3025850238800047","10.301666666666666","10.09"
"L1_L2","0.1","32","0.018821158871962108","2.3025851645151776","2.302585263824463","10.088333333333333","10.32"
"L1_L2","0.1","33","0.014640773570301302","2.302585159556071","2.3025848823547364","10.023333333333333","10.28"
"L1_L2","0.1","34","0.010905053572011027","2.3025850898742677","2.3025850624084474","10.125","11.35"
"L1_L2","0.1","35","0.007660977723585038","2.302585100809733","2.302585093307495","9.995","10.09"
"L1_L2","0.1","36","0.004949342161073944","2.3025850677490234","2.3025849727630616","10.238333333333333","9.58"
"L1_L2","0.1","37","0.0028042472750039044","2.3025850540161135","2.3025850826263428","10.145","9.58"
"L1_L2","0.1","38","0.0012526688781803186","2.3025849140167236","2.302584887313843","10.136666666666667","10.28"
"L1_L2","0.1","39","0.00031411896918998847","2.3025848868052163","2.302584887313843","10.396666666666667","10.28"
"L1_L2","0.1","40","4.003576978061e-07","2.3025848865509033","2.302584887313843","10.441666666666666","10.28"
