"iteration_type","weight_decay","epoch","lr","train_loss","val_loss","train_acc","val_acc"
"L1_L2","0.01","1","0.005635849325882514","0.7699917558987935","1.353671802711487","80.86166666666666","54.93"
"L1_L2","0.01","2","0.010431897177822128","0.49778471053441364","0.894210549736023","87.93333333333334","74.72"
"L1_L2","0.01","3","0.018061243070589844","0.5698264137585958","0.9266734392166137","85.48333333333333","74.19"
"L1_L2","0.01","4","0.028003867823535325","0.6131765508810679","2.722675191116333","84.07833333333333","39.57"
"L1_L2","0.01","5","0.039582078270008196","0.664076580842336","1.6055303535461425","82.33666666666667","48.85"
"L1_L2","0.01","6","0.052006699086933936","0.7032844482421875","1.3011555500030518","81.15333333333334","56.89"
"L1_L2","0.01","7","0.06443086329149111","0.7385989005406698","8.889728415679931","79.97","13.18"
"L1_L2","0.01","8","0.07600773502373485","0.7723588019371033","2.542386823272705","78.80666666666667","30.06"
"L1_L2","0.01","9","0.08594823020787264","0.8087874917666117","1.6132912441253662","77.64166666666667","43.34"
"L1_L2","0.01","10","0.09357480082949156","0.8522189338366191","4.533412942504883","76.435","16.55"
"L1_L2","0.01","11","0.09836761687150115","0.9432583084106445","2.07233172416687","73.36166666666666","22.85"
"L1_L2","0.01","12","0.0999999996423022","0.9012266101837159","2.4920914276123045","74.40666666666667","33.55"
"L1_L2","0.01","13","0.09968494176273295","0.8787273057937622","1.2987877652168274","75.235","51.07"
"L1_L2","0.01","14","0.09874506942773865","0.9339459320704142","1.6683364301681518","73.23833333333333","41.72"
"L1_L2","0.01","15","0.09719220207725855","0.9321164896011352","2.383461368560791","73.46666666666667","20.72"
"L1_L2","0.01","16","0.09504586791921951","1.0563921901067097","1.4604106719970704","68.85","49.26"
"L1_L2","0.01","17","0.09233305835099098","1.1385535441716512","2.8783581371307374","63.63166666666667","18.79"
"L1_L2","0.01","18","0.0890878885269022","1.1718953557332357","1.9451955200195312","61.26833333333333","30.85"
"L1_L2","0.01","19","0.08535116834038248","1.1727051561991373","1.1101860851287841","60.925","57.47"
"L1_L2","0.01","20","0.08116988921587286","1.194450375811259","1.3964176877975465","59.80166666666667","48.22"
"L1_L2","0.01","21","0.0765966331643987","1.3152534737269084","2.4911294742584227","55.531666666666666","14.61"
"L1_L2","0.01","22","0.07168891153427225","1.2866384956995647","1.317645865249634","56.67166666666667","49.8"
"L1_L2","0.01","23","0.06650844177251879","1.311641918436686","3.216744379043579","55.60333333333333","22.92"
"L1_L2","0.01","24","0.061120371292170905","1.316317849222819","1.74315179271698","55.611666666666665","42.39"
"L1_L2","0.01","25","0.05559245820575031","1.3147193296432496","9.229805504608155","55.681666666666665","11.36"
"L1_L2","0.01","26","0.04999421922768861","1.3121615530649822","2.62963385887146","56.015","18.11"
"L1_L2","0.01","27","0.044396055461308856","1.3190804040908815","2.1118904426574705","55.025","24.16"
"L1_L2","0.01","28","0.03886836706410354","1.3118099124908447","1.4566145343780517","55.30166666666667","51.66"
"L1_L2","0.01","29","0.03348066792490705","1.3094996910730998","2.226374000930786","55.45333333333333","24.91"
"L1_L2","0.01","30","0.0283007114864106","1.2973142453511557","1.3357480924606324","55.61333333333334","52.82"
"L1_L2","0.01","31","0.023393638706309047","1.2900028734207154","1.282734626197815","56.435","57.03"
"L1_L2","0.01","32","0.018821158871962108","1.275316127840678","1.6369693077087402","56.99166666666667","53.61"
"L1_L2","0.01","33","0.014640773570301302","1.2683993455251057","1.3711658533096314","57.446666666666665","50.36"
"L1_L2","0.01","34","0.010905053572011027","1.2600991078058879","1.6207683532714843","57.54833333333333","42.68"
"L1_L2","0.01","35","0.007660977723585038","1.2440246066411336","1.3534884565353393","58.70333333333333","55.67"
"L1_L2","0.01","36","0.004949342161073944","1.2203745983759562","1.5580204908370971","59.625","44.52"
"L1_L2","0.01","37","0.0028042472750039044","1.2040734998703002","1.037751145172119","60.138333333333335","67.03"
"L1_L2","0.01","38","0.0012526688781803186","1.1862722787221274","1.4990036979675292","60.875","46.11"
"L1_L2","0.01","39","0.00031411896918998847","1.1616199864705403","1.1954466411590576","62.155","61.39"
"L1_L2","0.01","40","4.003576978061e-07","1.1394634978294373","1.0543031185150147","63.278333333333336","67.2"
