"iteration_type","epoch","lr","train_loss","val_loss","train_acc","val_acc"
"base_model","1","0.005635849325882514","0.5766813663919766","0.12623525745868683","83.51333333333334","96.34"
"base_model","2","0.010431897177822128","0.1073411184112231","0.05033821182250976","96.86833333333334","98.54"
"base_model","3","0.018061243070589844","0.08511550493240357","0.050349307465553286","97.42166666666667","98.33"
"base_model","4","0.028003867823535325","0.07893761285146078","0.04348620502948761","97.50333333333333","98.54"
"base_model","5","0.039582078270008196","0.07139600032170614","0.034114758944511415","97.775","98.92"
"base_model","6","0.052006699086933936","0.06609226859807968","0.03178018839359283","97.945","98.99"
"base_model","7","0.06443086329149111","0.06218744994004567","0.03805896532535553","98.08833333333334","98.85"
"base_model","8","0.07600773502373485","0.058904405828317005","0.030038959121704102","98.18666666666667","99.14"
"base_model","9","0.08594823020787264","0.055994909632205964","0.027377393722534178","98.31833333333333","99.15"
"base_model","10","0.09357480082949156","0.051403677934408185","0.028122407674789428","98.39333333333333","99.13"
"base_model","11","0.09836761687150115","0.04909463726679484","0.0250714891910553","98.52","99.18"
"base_model","12","0.0999999996423022","0.047756439757347106","0.02806247110366821","98.525","99.1"
"base_model","13","0.09968494176273295","0.045927384348710375","0.023690398907661437","98.57","99.23"
"base_model","14","0.09874506942773865","0.044230607648690544","0.02124519760608673","98.60833333333333","99.27"
"base_model","15","0.09719220207725855","0.04492155795097351","0.02469600691795349","98.65166666666667","99.31"
"base_model","16","0.09504586791921951","0.0427573415795962","0.019897268342971803","98.68333333333334","99.35"
"base_model","17","0.09233305835099098","0.04119933303594589","0.02862226846218109","98.695","99.04"
"base_model","18","0.0890878885269022","0.03970778835217158","0.025758918046951292","98.74666666666667","99.19"
"base_model","19","0.08535116834038248","0.03931323515176773","0.02345600743293762","98.75166666666667","99.18"
"base_model","20","0.08116988921587286","0.03758096905350685","0.021692131209373473","98.81833333333333","99.32"
"base_model","21","0.0765966331643987","0.03813049329519272","0.02255107355117798","98.81833333333333","99.27"
"base_model","22","0.07168891153427225","0.03571402011315028","0.026271208071708678","98.89333333333333","99.22"
"base_model","23","0.06650844177251879","0.03800445334513982","0.02225805060863495","98.80666666666667","99.29"
"base_model","24","0.061120371292170905","0.03572617043654124","0.020262123036384583","98.89","99.32"
"base_model","25","0.05559245820575031","0.03464947673281034","0.018144733595848082","98.92833333333333","99.44"
"base_model","26","0.04999421922768861","0.03382420061031977","0.02227502932548523","98.94666666666667","99.32"
"base_model","27","0.044396055461308856","0.03388107573390007","0.021117590069770813","98.93","99.41"
"base_model","28","0.03886836706410354","0.0334999627828598","0.021730622029304505","99.00833333333334","99.34"
"base_model","29","0.03348066792490705","0.0311765979886055","0.02198980460166931","99.005","99.31"
"base_model","30","0.0283007114864106","0.03121364200512568","0.018283259749412535","99.01833333333333","99.4"
"base_model","31","0.023393638706309047","0.0294833470026652","0.01905951726436615","99.14333333333333","99.38"
"base_model","32","0.018821158871962108","0.027403744304180144","0.020123839592933655","99.11666666666666","99.37"
"base_model","33","0.014640773570301302","0.028061027803023657","0.020251590943336485","99.12666666666667","99.34"
"base_model","34","0.010905053572011027","0.027584843428929647","0.017927176117897035","99.15833333333333","99.43"
"base_model","35","0.007660977723585038","0.026802998405694962","0.019761654472351075","99.12166666666667","99.39"
"base_model","36","0.004949342161073944","0.02619538894891739","0.018386952924728393","99.145","99.44"
"base_model","37","0.0028042472750039044","0.024572795887788136","0.018173443460464477","99.24","99.43"
"base_model","38","0.0012526688781803186","0.02436668777068456","0.019113740491867065","99.23833333333333","99.37"
"base_model","39","0.00031411896918998847","0.024810341825087866","0.01789674301147461","99.18333333333334","99.43"
"base_model","40","4.003576978061e-07","0.024763107053438822","0.0173604665517807","99.205","99.5"
