"iteration_type","weight_decay","epoch","lr","train_loss","val_loss","train_acc","val_acc"
"l2","0.0001","1","0.005635849325882514","0.5042953671693802","0.07986556820869446","86.135","97.75"
"l2","0.0001","2","0.010431897177822128","0.09480828549861908","0.04569674549102783","97.25","98.61"
"l2","0.0001","3","0.018061243070589844","0.08052704128424326","0.06735625855922699","97.585","97.74"
"l2","0.0001","4","0.028003867823535325","0.07399513466755549","0.04635979175567627","97.73333333333333","98.62"
"l2","0.0001","5","0.039582078270008196","0.06485952077706655","0.04605382699966431","97.975","98.53"
"l2","0.0001","6","0.052006699086933936","0.06125235374768575","0.04783617837429047","98.14666666666666","98.41"
"l2","0.0001","7","0.06443086329149111","0.0606549268523852","0.05555486273765564","98.01","98.29"
"l2","0.0001","8","0.07600773502373485","0.058712768451372785","0.0572799346446991","98.23333333333333","98.24"
"l2","0.0001","9","0.08594823020787264","0.05558153515259425","0.038281185007095334","98.22666666666667","98.77"
"l2","0.0001","10","0.09357480082949156","0.05689452260931333","0.03485755693912506","98.22333333333333","98.88"
"l2","0.0001","11","0.09836761687150115","0.05255847644408544","0.03002238564491272","98.33333333333333","99.06"
"l2","0.0001","12","0.0999999996423022","0.051473417256275814","0.03355462143421173","98.41333333333333","98.93"
"l2","0.0001","13","0.09968494176273295","0.051580597853660586","0.028615203952789308","98.38333333333334","99.05"
"l2","0.0001","14","0.09874506942773865","0.04832435233592987","0.03334612953662872","98.45666666666666","98.97"
"l2","0.0001","15","0.09719220207725855","0.04856954851746559","0.030149517273902894","98.44166666666666","99.05"
"l2","0.0001","16","0.09504586791921951","0.04646800533135732","0.0337268470287323","98.56","98.86"
"l2","0.0001","17","0.09233305835099098","0.04734233642021815","0.03520818327665329","98.52166666666666","98.92"
"l2","0.0001","18","0.0890878885269022","0.04636003802617391","0.02973806610107422","98.555","99.09"
"l2","0.0001","19","0.08535116834038248","0.04683549178640048","0.027984540629386902","98.53666666666666","99.14"
"l2","0.0001","20","0.08116988921587286","0.04507700263261795","0.024178540802001953","98.56833333333333","99.22"
"l2","0.0001","21","0.0765966331643987","0.043351085873444876","0.028121303868293764","98.60666666666667","99.13"
"l2","0.0001","22","0.07168891153427225","0.045210177473227184","0.02515366802215576","98.58833333333334","99.3"
"l2","0.0001","23","0.06650844177251879","0.043710662098725636","0.026967785620689393","98.69166666666666","99.15"
"l2","0.0001","24","0.061120371292170905","0.042728875529766085","0.027194657683372498","98.70666666666666","99.09"
"l2","0.0001","25","0.05559245820575031","0.04026347853740057","0.03193530704975128","98.78666666666666","99.0"
"l2","0.0001","26","0.04999421922768861","0.04052325808604558","0.026162417316436766","98.77166666666666","99.12"
"l2","0.0001","27","0.044396055461308856","0.04082067962884903","0.02419322202205658","98.70666666666666","99.22"
"l2","0.0001","28","0.03886836706410354","0.03866012351115545","0.02582541437149048","98.76666666666667","99.17"
"l2","0.0001","29","0.03348066792490705","0.038692028097311655","0.02311594350337982","98.78333333333333","99.2"
"l2","0.0001","30","0.0283007114864106","0.03587156557242076","0.026894027256965637","98.875","99.12"
"l2","0.0001","31","0.023393638706309047","0.034203376332918804","0.02525856399536133","98.92333333333333","99.21"
"l2","0.0001","32","0.018821158871962108","0.03425502312382062","0.02513031687736511","98.94666666666667","99.14"
"l2","0.0001","33","0.014640773570301302","0.03365078146457672","0.02311141333580017","98.93333333333334","99.26"
"l2","0.0001","34","0.010905053572011027","0.03163698644638061","0.0221127605676651","99.00666666666666","99.3"
"l2","0.0001","35","0.007660977723585038","0.029659226632118226","0.020222736501693726","99.06833333333333","99.36"
"l2","0.0001","36","0.004949342161073944","0.027564425321420033","0.019732434964179993","99.165","99.41"
"l2","0.0001","37","0.0028042472750039044","0.026501481958230336","0.019499480891227723","99.19333333333333","99.38"
"l2","0.0001","38","0.0012526688781803186","0.026171308998266855","0.01925849587917328","99.16333333333333","99.41"
"l2","0.0001","39","0.00031411896918998847","0.02452630931933721","0.018950097227096556","99.24","99.42"
"l2","0.0001","40","4.003576978061e-07","0.024297898809115093","0.018826832509040832","99.22666666666667","99.42"
